created_at,source,original_text,polarity,subjectivity,lang,favorite_count,retweet_count,original_author,followers_count,friends_count,possibly_sensitive,hashtags,user_mentions,place
Fri Jun 18 17:57:55 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",f,0.0,0.0,en,855,485.0,saanchi_saxena,153,350,,,,
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",u,0.0,0.0,en,6,4.0,NatxRP,70,305,,,,"Barcelona, Espanya"
Fri Jun 18 17:57:59 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",l,0.0,0.0,en,62,48.0,yuccaldo,1309,2619,,,,"#mRNA/@pfizer 1.shot, 23.04"
Fri Jun 18 17:58:01 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",l,0.0,0.0,en,102,50.0,CaleEuropaEdic,2228,2720,,,,
Fri Jun 18 17:58:02 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",-,0.0,0.0,en,855,486.0,chloekam09,478,441,,,,
Fri Jun 18 17:58:08 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",b,0.0,0.0,en,0,,runciecwc,6467,2529,,,,Nigeria
Fri Jun 18 17:58:09 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",l,0.0,0.0,en,687,222.0,Renee98929893,12,152,,,,
Fri Jun 18 17:58:15 +0000 2021,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",o,0.0,0.0,en,0,1.0,corrigan_david,2898,5001,,,,"Los Angeles, CA"
Fri Jun 18 17:58:28 +0000 2021,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",w,0.0,0.0,en,3,5.0,guyinthecorner1,249,375,,,,South Africa
Fri Jun 18 17:58:40 +0000 2021,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",n,0.0,0.0,en,3,5.0,SandyBiback,910,575,,,,Canada
